2006 KL103,4.713,0.786,0.748,25.5,1.447
2016 EQ1,4.715,0.786,0.748,26.3,1.521
2011 QS49,4.715,0.786,0.748,24.2,1.499
2013 YS2,4.716,0.786,0.749,23.3,1.451
2010 XO,4.716,0.786,0.749,26.1,1.315
2004 BW18,4.718,0.786,0.749,22.5,1.373
2014 OV3,4.719,0.786,0.749,23.2,1.134
2006 SF281,4.719,0.787,0.749,27.1,1.493
2015 TC25,4.721,0.787,0.749,29.5,1.029
2015 KF19,4.722,0.787,0.749,22.3,1.107
2006 KS1,4.722,0.787,0.750,25.4,1.469
2015 QY8,4.722,0.787,0.750,27.8,1.292
2006 HU50,4.723,0.787,0.750,24.7,1.287
2016 EC28,4.726,0.788,0.750,24.9,1.204
2014 SD145,4.727,0.788,0.750,26.9,1.261
2010 RF31,4.728,0.788,0.750,25.2,1.372
2014 EU,4.729,0.788,0.751,27.7,1.293
2008 CE119,4.731,0.788,0.751,25.7,1.210
2016 EF86,4.734,0.789,0.751,25.2,1.469
2010 XU,4.734,0.789,0.751,25.3,1.331
2012 DK61,4.735,0.789,0.752,21.0,1.243
2009 HC,4.736,0.789,0.752,24.7,1.039
2010 CM19,4.736,0.789,0.752,25.0,1.448
2012 DW60,4.736,0.789,0.752,26.5,1.111
2014 UZ175,4.736,0.789,0.752,27.9,1.327
2012 DJ54,4.737,0.790,0.752,28.6,1.176
2006 HX30,4.738,0.790,0.752,26.2,1.484
2010 WD9,4.738,0.790,0.752,23.7,1.378
2013 RX73,4.739,0.790,0.752,25.0,1.366
2011 AA23,4.739,0.790,0.752,23.8,1.295
2010 RD,4.740,0.790,0.752,25.4,1.415
2011 ET74,4.742,0.790,0.753,26.2,1.153
2008 ON10,4.742,0.790,0.753,24.7,1.159
2016 CG18,4.743,0.790,0.753,28.5,1.057
2009 BW2,4.743,0.790,0.753,25.1,1.021
2015 FC345,4.743,0.790,0.753,27.8,1.273
2009 HH21,4.743,0.791,0.753,26.9,1.402
2008 UR,4.743,0.791,0.753,26.9,1.315
2013 WY,4.744,0.791,0.753,26.3,1.521
2012 XB112,4.744,0.791,0.753,29.9,1.029
2014 JU79,4.747,0.791,0.753,23.3,1.350
2006 DX,4.747,0.791,0.753,24.4,1.142
2007 TE71,4.747,0.791,0.753,24.3,1.244
2007 HL4,4.747,0.791,0.753,24.2,1.118
2008 WM61,4.747,0.791,0.754,26.7,1.480
2008 EK85,4.748,0.791,0.754,28.4,1.379
2003 CC,4.748,0.791,0.754,20.4,1.501
2013 QE16,4.751,0.792,0.754,26.5,1.463
2008 WN2,4.752,0.792,0.754,20.7,1.418
2004 QA22,4.752,0.792,0.754,27.9,0.951
2015 FO34,4.753,0.792,0.754,27.6,1.491
2009 WG7,4.754,0.792,0.755,26.6,1.242
1996 XB27,4.755,0.793,0.755,21.7,1.189
2010 JK1,4.756,0.793,0.755,24.4,1.030
2008 TE2,4.756,0.793,0.755,27.3,1.492
2010 CK19,4.758,0.793,0.755,27.9,0.987
2013 US8,4.758,0.793,0.755,25.0,1.402
2015 TC179,4.759,0.793,0.755,26.0,1.485
2016 AN66,4.759,0.793,0.755,27.3,1.387
2015 VO105,4.760,0.793,0.756,24.1,1.045
2012 HN13,4.760,0.793,0.756,22.8,1.409
2003 BN4,4.761,0.794,0.756,24.0,1.270
2012 LA11,4.761,0.794,0.756,26.1,0.987
2011 CA4,4.763,0.794,0.756,27.1,1.301
2000 SJ344,4.764,0.794,0.756,22.6,1.140
2010 FC,4.765,0.794,0.756,24.0,1.330
2013 UM9,4.765,0.794,0.756,24.8,1.214
1994 EU,4.765,0.794,0.756,25.9,1.379
2007 FB,4.766,0.794,0.757,26.2,1.315
2000 YJ11,4.767,0.794,0.757,20.8,1.313
2012 UY68,4.767,0.795,0.757,25.0,1.175
2007 YF,4.768,0.795,0.757,24.8,0.953
2012 BA35,4.769,0.795,0.757,23.8,1.072
2006 EY,4.769,0.795,0.757,25.1,1.425
2013 RS43,4.770,0.795,0.757,27.0,1.457
2011 AA37,4.770,0.795,0.757,22.8,1.096
2005 WF55,4.771,0.795,0.757,26.3,1.504
2009 HG,4.772,0.795,0.757,24.5,1.367
2009 UB,4.773,0.796,0.758,25.5,1.332
2008 YS27,4.774,0.796,0.758,21.2,1.468
2010 VL65,4.775,0.796,0.758,28.4,1.065
2010 UH,4.777,0.796,0.758,27.1,1.362
2013 UT4,4.779,0.796,0.758,26.2,1.071
2001 SZ169,4.779,0.796,0.759,25.1,1.334
2001 WH49,4.779,0.796,0.759,26.0,1.467
2002 DQ3,4.782,0.797,0.759,23.8,1.387
2014 HP2,4.783,0.797,0.759,27.3,1.505
2011 HN24,4.783,0.797,0.759,27.6,1.372
2013 HO11,4.784,0.797,0.759,23.0,1.195
2009 FH,4.785,0.797,0.759,26.6,1.475
2008 DG5,4.785,0.798,0.760,19.6,1.256
2004 XK3,4.787,0.798,0.760,24.4,1.228
2014 DD112,4.788,0.798,0.760,23.7,1.264
2015 FW33,4.789,0.798,0.760,25.8,1.302
2011 BG24,4.789,0.798,0.760,26.6,1.404
2003 QU5,4.791,0.798,0.760,24.2,1.439
2009 UD,4.791,0.798,0.760,27.2,1.039
2001 WC47,4.794,0.799,0.761,18.9,1.399
2013 KA,4.794,0.799,0.761,27.9,1.448
2010 UO,4.795,0.799,0.761,26.3,1.416
2012 PB20,4.800,0.800,0.762,24.9,1.054
2011 UG169,4.800,0.800,0.762,25.8,1.381
2012 BV61,4.802,0.800,0.762,25.2,1.529
2009 YR,4.803,0.800,0.762,28.0,0.942
2006 XY,4.804,0.801,0.762,24.0,1.498
2014 SR143,4.804,0.801,0.763,24.2,1.296
2014 DQ,4.804,0.801,0.763,24.7,1.200
2014 NL52,4.806,0.801,0.763,23.6,1.224
2014 UK175,4.807,0.801,0.763,27.1,1.171
2004 KG17,4.808,0.801,0.763,27.1,1.511
2014 HB177,4.808,0.801,0.763,28.1,1.115
2010 GA34,4.809,0.801,0.763,22.5,1.457
2000 TE2,4.810,0.802,0.763,24.9,1.321
2014 AE5,4.810,0.802,0.764,25.5,1.535
2015 VA3,4.812,0.802,0.764,24.4,1.333
2006 SV5,4.813,0.802,0.764,23.1,1.445
2005 AJ3,4.815,0.803,0.764,23.2,1.276
2011 HJ,4.816,0.803,0.765,26.0,1.446
2010 WB,4.817,0.803,0.765,24.1,1.359
2016 AM165,4.819,0.803,0.765,24.7,1.382
2010 RM122,4.819,0.803,0.765,25.6,1.306
2011 BG40,4.820,0.803,0.765,24.6,1.377
2009 SH1,4.820,0.803,0.765,29.4,1.188
2015 HT9,4.821,0.803,0.765,26.1,1.425
2013 CA88,4.822,0.804,0.765,24.6,1.467
2001 VE2,4.822,0.804,0.765,25.0,1.106
2013 BW15,4.822,0.804,0.765,25.6,1.447
2011 CR1,4.824,0.804,0.766,26.5,1.527
2012 DV43,4.824,0.804,0.766,26.3,1.445
2010 TE55,4.825,0.804,0.766,28.0,0.949
2008 SO,4.827,0.804,0.766,20.8,1.331
2011 YW15,4.829,0.805,0.766,24.7,1.483
2008 VC,4.829,0.805,0.766,26.9,1.121
2014 QH33,4.835,0.806,0.767,24.4,1.085
2009 SC15,4.835,0.806,0.767,21.4,1.266
2010 JR34,4.836,0.806,0.768,27.7,0.959
2011 FT9,4.836,0.806,0.768,26.2,1.522
2013 AL11,4.840,0.807,0.768,23.2,1.459
2001 WJ4,4.840,0.807,0.768,27.4,1.256
2009 TD17,4.841,0.807,0.768,27.7,1.127
2014 UG115,4.841,0.807,0.768,26.6,1.414
2015 BM510,4.841,0.807,0.768,25.1,0.947
2011 DW4,4.841,0.807,0.768,27.3,1.559
2010 XG64,4.845,0.807,0.769,27.9,1.549
2014 EK24,4.846,0.808,0.769,23.3,1.004
2014 AY28,4.846,0.808,0.769,21.8,1.425
2015 HW182,4.846,0.808,0.769,25.4,1.310
2016 DR2,4.847,0.808,0.769,25.6,1.257
2005 AZ28,4.850,0.808,0.770,24.0,1.467
2015 CW13,4.852,0.809,0.770,22.9,1.433
2002 SR,4.852,0.809,0.770,21.6,1.179
2015 RN35,4.854,0.809,0.770,23.1,1.459
2015 RW35,4.857,0.809,0.771,29.2,1.231
2013 SB20,4.857,0.810,0.771,24.8,1.086
2015 XE1,4.858,0.810,0.771,25.7,1.534
1998 VS,4.858,0.810,0.771,22.3,1.400
2011 WU2,4.859,0.810,0.771,24.9,1.182
2014 KP2,4.860,0.810,0.771,26.7,1.278
2012 BF77,4.860,0.810,0.771,25.0,1.502
2015 AE44,4.860,0.810,0.771,24.6,1.487
2008 EV68,4.864,0.811,0.772,23.5,1.461
2015 XN55,4.864,0.811,0.772,27.2,1.210
2009 BO5,4.865,0.811,0.772,26.8,1.419
2015 BF511,4.865,0.811,0.772,24.8,1.313
2016 DZ21,4.866,0.811,0.772,25.4,1.303
2014 HA199,4.867,0.811,0.773,27.9,1.459
